uuid,datetime,species,number_morbidity,disease_id,number_mortality,total_number_cases,location,,,
dc6503b2-5d39-4e58-bc02-ad67427c7a1e,02-05-21 16:45,pig,6,9,0,6,Village 1,,,
7c0154b2-4989-4f9f-8758-329219812fc4,29-04-21 17:04,pig,6,5,1,7,Village 1,,,
59f41871-fd50-4bdd-94a8-e8a5ab70ed79,27-04-21 9:37,dog,2,0,0,2,Village 3,,,
212af1a6-588c-492c-a7d7-906972445988,01-05-21 9:15,dog,1,9,2,3,Village 3,,,
c9d165c2-114e-4a2b-910d-65e2d17bbbba,07-05-21 9:50,buffalo,5,7,4,9,Village 2,,,
a0cc4fc9-9985-4ee7-8e1c-301252f8ea86,30-04-21 17:12,cat,5,6,3,8,Health Centre B,,,
c7e5a9f4-316b-4bb2-b71d-2354921ec8de,11-05-21 12:51,dog,5,1,5,10,Village 1,,,
89b5c5c0-1c53-42c7-8323-eb2988f7eb52,08-05-21 12:59,buffalo,1,3,2,3,Village 1,,,
2f51a926-9a52-40c1-91f2-99892d30ce2e,09-05-21 16:49,cat,6,8,2,8,Village 1,,,
ddb49d83-c4e8-4653-8339-5aa53104ca35,02-05-21 13:58,sheep,1,9,0,1,Health Centre B,,,
5743e545-9a76-45ef-a472-499133c62978,07-05-21 12:06,cat,2,4,3,5,Village 1,,,
dcd85144-137b-485f-bd3c-9c51d0d6c8ff,06-05-21 10:51,chicken,2,7,4,6,Village 2,,,
ede46cbf-a3ec-4a69-b812-b79d56257145,11-05-21 15:23,pig,1,0,3,4,Health Centre A,,,
e91a891f-21e0-49ae-9ed0-f7599d378850,06-05-21 13:14,dog,3,8,1,4,Village 2,,,
a60ce923-9afd-4a81-a18c-22a1d2d1cf93,03-05-21 15:21,cat,3,0,2,5,Village 2,,,
4c74aa1b-9bb9-4d96-adc0-5ce600406555,08-05-21 15:04,sheep,5,1,3,8,Health Centre A,,,
f29ddab1-a922-4356-9004-4ee1dde0698b,03-05-21 12:08,buffalo,5,7,1,6,Health Centre A,,,
df732a49-54b7-4fce-8d80-181da5c6343b,01-05-21 16:14,chicken,6,9,2,8,Health Centre A,,,
688817c5-d89e-47fe-bedb-b0376b9ae5a1,10-05-21 14:05,dog,2,9,5,7,Village 2,,,
"19ca48a3-ccda-""ABB","4eba-""ABB",bb00-59c894fbb314,28-04-21 12:15,dog,1,3,5,6,Village 2,
eecf180e-f639-4860-aac6-dab3582a1b47,03-05-21 11:03,chicken,4,4,3,7,Village 3,,,
"786106cd-de44-45b8-be0a-""ABB",3fc839037be3,29-04-21 12:06,cat,6,3,4,10,Village 1,,
ae58bf8e-3deb-42db-96b2-d6fb3898dd91,29-04-21 15:24,sheep,1,5,2,3,Village 3,,,
81341420-70a5-4124-a102-bd636f68256c,27-04-21 15:36,sheep,2,7,3,5,Village 3,,,
f7d009bf-fee1-4ed0-b8cc-90014313d992,07-05-21 9:40,dog,1,1,4,5,Village 3,,,
"b4213c98-9d65-4f4a-""ABB",910b-00193f56e700,11-05-21 18:28,sheep,2,9,2,4,Village 1,,
918cf0df-8fa7-4dd6-a2b8-7dc5e456e692,30-04-21 17:33,pig,6,1,1,7,Village 3,,,
48d00144-0ca1-4e57-8adf-04a284f7a4be,05-05-21 18:52,chicken,1,5,1,2,Health Centre A,,,
9c01bbbe-4607-4824-a420-a6789cf0628e,30-04-21 13:40,sheep,5,2,4,9,Village 1,,,
28b60d21-b0e1-4172-bd18-6452c364758c,04-05-21 9:28,cat,5,9,5,10,Health Centre A,,,
91d28624-a746-44cd-8ec8-5afc3f4c730e,05-05-21 12:50,cat,4,9,3,7,Village 1,,,
"74d5cc3a-""ABB","b678-47a4-a92a-""ABB",10b844c2f2ac,11-05-21 10:38,dog,2,8,5,7,Village 3,
"dd8cfbc0-3e09-408a-""ABB",9d05-285ec8b74d90,03-05-21 14:54,buffalo,1,3,4,5,Village 2,,
52024539-e7ac-43e1-8773-b17b22db702b,10-05-21 18:01,dog,1,7,2,3,Health Centre B,,,
a2df555f-16ee-480c-8ceb-22f4112b815a,11-05-21 10:41,buffalo,6,0,5,11,Village 1,,,
19981b62-c0ce-454b-9f39-32fc761e0b51,02-05-21 13:29,chicken,2,4,5,7,Health Centre B,,,
c4d2460c-f5dc-4418-a84b-7773798369af,27-04-21 10:41,sheep,4,6,3,7,Village 2,,,
"56eb776b-ba0a-""ABB",45ce-b723-6185c0fd93de,11-05-21 10:51,pig,2,1,2,4,Health Centre A,,
d506abc4-ca6e-4950-b2dc-7bd6ecbe7216,06-05-21 12:19,dog,3,0,3,6,Village 2,,,
180da630-19b4-4b49-a484-a1c40f752ec5,07-05-21 13:44,chicken,3,0,4,7,Health Centre B,,,
1b86117d-1233-4c70-baaf-bbda826e79d8,06-05-21 10:11,dog,4,4,4,8,Village 1,,,
"128c966c-6765-45cc-9d7a-""ABB",2c56bf96ef97,05-05-21 16:54,cat,2,2,2,4,Village 3,,
cf2d1953-4f26-4684-b76f-4166de73d7a3,28-04-21 15:16,chicken,3,1,0,3,Village 1,,,
05fecc78-6acc-4e96-84f5-74e8f376aaa5,08-05-21 18:06,chicken,3,8,4,7,Health Centre A,,,
398eb1eb-880b-4b46-8763-21a33f0dc782,11-05-21 14:54,dog,3,0,2,5,Health Centre B,,,
f3e459f0-c3c1-43ae-956f-ac038e2d8549,07-05-21 15:17,buffalo,4,6,0,4,Health Centre B,,,
1fcd1a61-4de5-43c7-8ece-7fce5308e7b7,29-04-21 11:17,dog,6,2,2,8,Village 2,,,
"b198afb5-3030-4238-8f4a-""ABB",2bd523ea18f5,04-05-21 18:54,cat,3,6,3,6,Health Centre B,,
"aa63df7c-5668-4131-9b3a-""ABB",a72c615c8717,07-05-21 14:42,chicken,2,1,1,3,Health Centre B,,
43676d00-5183-4ace-b629-13f41b93c1d1,28-04-21 9:37,chicken,4,8,2,6,Village 3,,,
8c3cefa5-7edf-4708-94f8-0f362dc932f7,29-04-21 10:15,buffalo,6,4,1,7,Village 2,,,
"18b8ba8a-""ABB",9bd1-44bd-bff9-794b00b870df,09-05-21 13:56,buffalo,2,2,4,6,Health Centre B,,
05432934-49a1-400b-bb45-67149e818402,03-05-21 10:30,buffalo,1,9,1,2,Health Centre A,,,
313f8705-2a21-46d1-949e-8413865e72d5,02-05-21 16:49,cat,6,6,3,9,Health Centre B,,,
ad19308b-dcdd-427c-bcf2-9aed12989807,06-05-21 17:25,cat,6,5,0,6,Village 1,,,
"9b8cb931-f4b5-4927-a4da-""ABB",d78797c8f8da,08-05-21 16:00,sheep,5,7,3,8,Village 3,,
49eb333e-b607-4d83-b84c-b09b971c3e79,04-05-21 18:51,cat,1,1,5,6,Health Centre A,,,
26566108-d9a6-4f79-916e-6df99fb501c7,08-05-21 10:52,buffalo,5,2,0,5,Village 1,,,
4e4b4f92-7af1-4f70-8304-5bb00548c508,02-05-21 14:04,cat,3,5,4,7,Village 2,,,
91d626ae-27b9-456e-8353-58902fb12fb9,08-05-21 17:51,cat,1,2,2,3,Health Centre A,,,
975a7982-07e3-48c9-8912-3576dea3864a,27-04-21 9:13,buffalo,3,3,2,5,Health Centre A,,,
"850ba51b-e4f2-4d6a-""ABB",b1e4-8a51f68942ae,28-04-21 12:49,sheep,6,6,0,6,Village 3,,
120660f1-6db6-42b6-8345-7a1da353fe5d,06-05-21 9:04,sheep,5,9,4,9,Village 1,,,
fe60eaee-dacd-4407-af55-dbec794a90fc,27-04-21 16:10,pig,4,9,2,6,Health Centre B,,,
40ea025f-ac05-42b8-9e4d-fe5b3e70ad05,04-05-21 18:13,pig,6,0,4,10,Village 3,,,
